lake,date,raster_pixels,valid_water_pixels,eligible_pixels,class_0,class_1,sampled_pixels
amatitlan,2025-01-28,306860,27830,27823,22364,5459,1000
amatitlan,2025-04-15,306860,11760,11759,10315,1444,1000
amatitlan,2025-04-28,306860,23244,23232,17782,5450,1000
amatitlan,2025-11-24,306860,30045,30038,25516,4522,1000
amatitlan,2026-01-08,306860,31327,31319,18723,12596,1000
amatitlan,2026-02-02,306860,2578,2577,2577,0,500
amatitlan,2026-02-07,306860,9076,9075,8947,128,628
amatitlan,2026-03-29,306860,22581,22581,17444,5137,1000
amatitlan,2026-04-13,306860,34704,34702,27472,7230,1000
amatitlan,2026-04-28,306860,33462,33462,19302,14160,1000
amatitlan,2026-06-19,306860,31484,31484,2116,29368,1000
atitlan,2025-01-18,1194375,284906,25611,15926,9685,1000
atitlan,2025-04-13,1194375,235106,222758,222755,3,503
atitlan,2025-05-13,1194375,174222,162929,162916,13,513
atitlan,2025-07-17,1194375,203325,194345,193874,471,971
atitlan,2025-11-21,1194375,246973,171373,166072,5301,1000
atitlan,2025-12-29,1194375,274601,183359,182495,864,1000
atitlan,2026-02-12,1194375,254335,178079,176806,1273,1000
atitlan,2026-03-24,1194375,298345,286287,286261,26,526
atitlan,2026-04-13,1194375,47187,41374,41360,14,514
atitlan,2026-04-28,1194375,135068,123571,123571,0,500
atitlan,2026-07-22,1194375,217784,208030,207617,413,913
