lake,spatial_block,observations,positives,dates
amatitlan,amatitlan_757_1601,1,1,1
amatitlan,amatitlan_757_1602,95,70,8
amatitlan,amatitlan_757_1603,63,55,6
amatitlan,amatitlan_758_1601,366,186,9
amatitlan,amatitlan_758_1602,601,388,10
amatitlan,amatitlan_758_1603,26,23,6
amatitlan,amatitlan_759_1594,17,0,7
amatitlan,amatitlan_759_1600,1,1,1
amatitlan,amatitlan_759_1601,202,93,10
amatitlan,amatitlan_759_1602,350,209,11
amatitlan,amatitlan_760_1594,1,0,1
amatitlan,amatitlan_760_1600,260,93,10
amatitlan,amatitlan_760_1601,827,229,11
amatitlan,amatitlan_760_1602,246,67,10
amatitlan,amatitlan_760_1603,1,0,1
amatitlan,amatitlan_761_1599,183,94,9
amatitlan,amatitlan_761_1600,888,629,10
amatitlan,amatitlan_761_1601,422,283,11
amatitlan,amatitlan_761_1602,233,83,11
amatitlan,amatitlan_761_1603,32,27,6
amatitlan,amatitlan_762_1598,109,19,9
amatitlan,amatitlan_762_1599,310,206,10
amatitlan,amatitlan_762_1600,280,223,10
amatitlan,amatitlan_762_1601,37,35,8
amatitlan,amatitlan_762_1602,34,31,8
amatitlan,amatitlan_763_1596,65,18,9
amatitlan,amatitlan_763_1597,399,79,9
amatitlan,amatitlan_763_1598,547,135,10
amatitlan,amatitlan_763_1599,39,16,9
amatitlan,amatitlan_763_1600,4,0,1
amatitlan,amatitlan_764_1595,18,1,9
amatitlan,amatitlan_764_1596,641,235,11
amatitlan,amatitlan_764_1597,549,122,10
amatitlan,amatitlan_764_1598,461,240,10
amatitlan,amatitlan_764_1601,5,1,2
amatitlan,amatitlan_765_1595,111,29,9
amatitlan,amatitlan_765_1596,533,158,11
amatitlan,amatitlan_765_1597,482,177,10
amatitlan,amatitlan_765_1598,589,312,10
amatitlan,amatitlan_766_1598,100,60,9
atitlan,atitlan_684_1625,15,10,5
atitlan,atitlan_684_1626,12,4,9
atitlan,atitlan_684_1627,1,0,1
atitlan,atitlan_685_1625,18,12,7
atitlan,atitlan_685_1626,34,16,8
atitlan,atitlan_685_1627,25,22,5
atitlan,atitlan_686_1624,8,4,4
atitlan,atitlan_686_1625,92,76,6
atitlan,atitlan_686_1626,66,19,10
atitlan,atitlan_686_1627,32,9,8
atitlan,atitlan_686_1628,10,9,4
atitlan,atitlan_687_1617,1,1,1
atitlan,atitlan_687_1623,5,4,3
atitlan,atitlan_687_1624,17,1,6
atitlan,atitlan_687_1625,69,22,8
atitlan,atitlan_687_1626,89,30,9
atitlan,atitlan_687_1627,86,35,8
atitlan,atitlan_687_1628,11,5,6
atitlan,atitlan_688_1616,221,204,10
atitlan,atitlan_688_1617,97,59,8
atitlan,atitlan_688_1618,13,2,5
atitlan,atitlan_688_1623,12,1,6
atitlan,atitlan_688_1624,42,6,8
atitlan,atitlan_688_1625,55,10,8
atitlan,atitlan_688_1626,65,20,8
atitlan,atitlan_688_1627,65,29,9
atitlan,atitlan_688_1628,10,3,6
atitlan,atitlan_689_1616,24,24,5
atitlan,atitlan_689_1617,209,185,10
atitlan,atitlan_689_1618,40,4,8
atitlan,atitlan_689_1619,32,18,9
atitlan,atitlan_689_1620,12,4,7
atitlan,atitlan_689_1621,11,2,5
atitlan,atitlan_689_1622,21,9,8
atitlan,atitlan_689_1623,41,13,8
atitlan,atitlan_689_1624,76,30,8
atitlan,atitlan_689_1625,75,29,8
atitlan,atitlan_689_1626,61,20,8
atitlan,atitlan_689_1627,56,15,9
atitlan,atitlan_689_1628,31,10,8
atitlan,atitlan_689_1629,4,1,3
atitlan,atitlan_690_1618,26,18,5
atitlan,atitlan_690_1619,10,1,5
atitlan,atitlan_690_1620,69,56,10
atitlan,atitlan_690_1621,45,20,8
atitlan,atitlan_690_1622,36,3,8
atitlan,atitlan_690_1623,54,11,8
atitlan,atitlan_690_1624,50,11,8
atitlan,atitlan_690_1625,71,27,8
atitlan,atitlan_690_1626,77,27,9
atitlan,atitlan_690_1627,69,18,8
atitlan,atitlan_690_1628,49,7,10
atitlan,atitlan_690_1629,3,2,3
atitlan,atitlan_691_1621,60,44,9
atitlan,atitlan_691_1622,34,1,8
atitlan,atitlan_691_1623,52,6,9
atitlan,atitlan_691_1624,51,11,8
atitlan,atitlan_691_1625,53,20,9
atitlan,atitlan_691_1626,59,14,9
atitlan,atitlan_691_1627,79,15,10
atitlan,atitlan_691_1628,58,4,10
atitlan,atitlan_691_1629,33,6,9
atitlan,atitlan_692_1621,10,9,2
atitlan,atitlan_692_1622,32,10,8
atitlan,atitlan_692_1623,46,1,9
atitlan,atitlan_692_1624,56,8,9
atitlan,atitlan_692_1625,68,25,10
atitlan,atitlan_692_1626,51,13,9
atitlan,atitlan_692_1627,95,24,10
atitlan,atitlan_692_1628,67,22,10
atitlan,atitlan_692_1629,47,9,9
atitlan,atitlan_692_1630,8,1,6
atitlan,atitlan_693_1621,3,2,3
atitlan,atitlan_693_1622,22,1,9
atitlan,atitlan_693_1623,40,1,10
atitlan,atitlan_693_1624,55,7,10
atitlan,atitlan_693_1625,64,13,9
atitlan,atitlan_693_1626,57,4,10
atitlan,atitlan_693_1627,65,17,10
atitlan,atitlan_693_1628,93,26,10
atitlan,atitlan_693_1629,74,18,10
atitlan,atitlan_693_1630,14,4,8
atitlan,atitlan_694_1622,6,1,5
atitlan,atitlan_694_1623,49,7,9
atitlan,atitlan_694_1624,59,10,10
atitlan,atitlan_694_1625,66,5,10
atitlan,atitlan_694_1626,67,9,10
atitlan,atitlan_694_1627,78,27,10
atitlan,atitlan_694_1628,83,21,10
atitlan,atitlan_694_1629,63,16,10
atitlan,atitlan_694_1630,11,2,7
atitlan,atitlan_695_1622,2,0,2
atitlan,atitlan_695_1623,45,7,9
atitlan,atitlan_695_1624,76,12,10
atitlan,atitlan_695_1625,51,9,10
atitlan,atitlan_695_1626,65,15,10
atitlan,atitlan_695_1627,84,22,10
atitlan,atitlan_695_1628,86,46,9
atitlan,atitlan_695_1629,73,36,9
atitlan,atitlan_695_1630,14,4,9
atitlan,atitlan_696_1622,2,2,2
atitlan,atitlan_696_1623,52,7,11
atitlan,atitlan_696_1624,63,9,10
atitlan,atitlan_696_1625,73,5,11
atitlan,atitlan_696_1626,59,10,10
atitlan,atitlan_696_1627,85,11,10
atitlan,atitlan_696_1628,61,15,9
atitlan,atitlan_696_1629,87,26,9
atitlan,atitlan_696_1630,19,3,10
atitlan,atitlan_696_1631,1,1,1
atitlan,atitlan_697_1622,11,4,4
atitlan,atitlan_697_1623,49,12,9
atitlan,atitlan_697_1624,76,6,10
atitlan,atitlan_697_1625,70,11,10
atitlan,atitlan_697_1626,65,5,9
atitlan,atitlan_697_1627,65,9,10
atitlan,atitlan_697_1628,72,17,10
atitlan,atitlan_697_1629,149,92,10
atitlan,atitlan_697_1630,43,20,10
atitlan,atitlan_697_1631,3,2,2
atitlan,atitlan_698_1621,9,5,6
atitlan,atitlan_698_1622,67,22,10
atitlan,atitlan_698_1623,64,4,9
atitlan,atitlan_698_1624,77,7,9
atitlan,atitlan_698_1625,82,13,10
atitlan,atitlan_698_1626,57,12,9
atitlan,atitlan_698_1627,89,17,10
atitlan,atitlan_698_1628,69,18,9
atitlan,atitlan_698_1629,89,65,8
atitlan,atitlan_699_1620,6,5,2
atitlan,atitlan_699_1621,102,67,9
atitlan,atitlan_699_1622,133,82,9
atitlan,atitlan_699_1623,104,18,8
atitlan,atitlan_699_1624,81,18,9
atitlan,atitlan_699_1625,82,11,10
atitlan,atitlan_699_1626,90,17,11
atitlan,atitlan_699_1627,109,56,10
atitlan,atitlan_699_1628,56,23,10
atitlan,atitlan_699_1629,16,9,6
atitlan,atitlan_700_1618,46,46,7
atitlan,atitlan_700_1619,127,121,11
atitlan,atitlan_700_1620,21,5,8
atitlan,atitlan_700_1621,86,44,8
atitlan,atitlan_700_1622,122,71,9
atitlan,atitlan_700_1623,73,7,9
atitlan,atitlan_700_1624,49,4,9
atitlan,atitlan_700_1625,62,5,9
atitlan,atitlan_700_1626,63,3,11
atitlan,atitlan_700_1627,53,12,11
atitlan,atitlan_700_1628,23,10,10
atitlan,atitlan_701_1620,5,1,4
atitlan,atitlan_701_1621,28,6,6
atitlan,atitlan_701_1622,107,59,10
atitlan,atitlan_701_1623,85,17,10
atitlan,atitlan_701_1624,45,8,7
atitlan,atitlan_701_1625,40,2,9
atitlan,atitlan_701_1626,11,3,5
atitlan,atitlan_701_1627,3,2,3
atitlan,atitlan_702_1621,1,0,1
atitlan,atitlan_702_1622,17,4,8
atitlan,atitlan_702_1623,19,5,8
atitlan,atitlan_702_1624,12,2,7
atitlan,atitlan_702_1625,8,4,4
