strategy,fold,model,n_test,test_classes,status,accuracy,precision,recall,f1,roc_auc,tn,fp,fn,tp
spatial,1,Logistic regression,3714,2,ok,0.7576736672051696,0.7613895216400911,0.7354235423542355,0.7481813094571909,0.8744975235920216,1477,419,481,1337
spatial,1,Random forest,3714,2,ok,0.8486806677436726,0.8347547974413646,0.8613861386138614,0.8478613968597726,0.9364219386073628,1586,310,252,1566
spatial,1,Gradient boosting,3714,2,ok,0.815831987075929,0.7987355110642782,0.8338833883388339,0.8159311087190527,0.8999242223800439,1514,382,302,1516
spatial,2,Logistic regression,3714,2,ok,0.6793214862681745,0.5581395348837209,0.6901509705248023,0.6171648987463838,0.8266474132800707,1563,760,431,960
spatial,2,Random forest,3714,2,ok,0.8656435110393107,0.7709599027946537,0.9122933141624731,0.8356931182087587,0.9538890468923741,1946,377,122,1269
spatial,2,Gradient boosting,3714,2,ok,0.8362950996230479,0.7436216552582452,0.8590941768511862,0.7971981320880587,0.9256076437512785,1911,412,196,1195
spatial,3,Logistic regression,3714,2,ok,0.7582121701669359,0.7226123595505618,0.6716710182767625,0.696211096075778,0.8617528173783604,1787,395,503,1029
spatial,3,Random forest,3714,2,ok,0.8548734518039849,0.8343434343434344,0.8087467362924282,0.8213457076566125,0.9369957855992418,1936,246,293,1239
spatial,3,Gradient boosting,3714,2,ok,0.8373721055465805,0.8060686015831134,0.7976501305483029,0.8018372703412073,0.9182028428657926,1888,294,310,1222
spatial,4,Logistic regression,3713,2,ok,0.7681120387826555,0.6585365853658537,0.7180851063829787,0.6870229007633588,0.8805678450646895,1907,490,371,945
spatial,4,Random forest,3713,2,ok,0.8454080258551037,0.727328431372549,0.9019756838905775,0.805291723202171,0.9378789089198378,1952,445,129,1187
spatial,4,Gradient boosting,3713,2,ok,0.8297872340425532,0.7090464547677262,0.8814589665653495,0.7859078590785907,0.9210658459852932,1921,476,156,1160
spatial,5,Logistic regression,3713,2,ok,0.7565311069216267,0.6747265400115141,0.7756452680344142,0.7216748768472906,0.8747736099364576,1637,565,339,1172
spatial,5,Random forest,3713,2,ok,0.8596821976838136,0.8148854961832062,0.8477829252150894,0.8310087577035355,0.940719164516224,1911,291,230,1281
spatial,5,Gradient boosting,3713,2,ok,0.8217075141395098,0.7747572815533981,0.7921906022501655,0.7833769633507853,0.9064727270978613,1854,348,314,1197
