model,best_inner_f2,best_params,outer_fold,outer_train_n,outer_test_n,outer_test_tuning_overlap,maximum_inner_group_overlap
Logistic regression,0.6938118962199945,{'classifier__C': 3.0},1,14854,3714,0,0
Random forest,0.8292032213388074,"{'classifier__max_depth': None, 'classifier__min_samples_leaf': 10}",1,14854,3714,0,0
Gradient boosting,0.7925608907057153,{'classifier__learning_rate': 0.1},1,14854,3714,0,0
Logistic regression,0.7294006916851262,{'classifier__C': 3.0},2,14854,3714,0,0
Random forest,0.8313055416161078,"{'classifier__max_depth': None, 'classifier__min_samples_leaf': 10}",2,14854,3714,0,0
Gradient boosting,0.7945983377235252,{'classifier__learning_rate': 0.1},2,14854,3714,0,0
Logistic regression,0.7104559340767298,{'classifier__C': 3.0},3,14854,3714,0,0
Random forest,0.8426471244043664,"{'classifier__max_depth': None, 'classifier__min_samples_leaf': 10}",3,14854,3714,0,0
Gradient boosting,0.8061112966044711,{'classifier__learning_rate': 0.1},3,14854,3714,0,0
Logistic regression,0.7082384470311448,{'classifier__C': 3.0},4,14855,3713,0,0
Random forest,0.8468011329955231,"{'classifier__max_depth': None, 'classifier__min_samples_leaf': 10}",4,14855,3713,0,0
Gradient boosting,0.8115940023042575,{'classifier__learning_rate': 0.1},4,14855,3713,0,0
Logistic regression,0.7034723193049617,{'classifier__C': 3.0},5,14855,3713,0,0
Random forest,0.8486203696030629,"{'classifier__max_depth': None, 'classifier__min_samples_leaf': 10}",5,14855,3713,0,0
Gradient boosting,0.8074845855615428,{'classifier__learning_rate': 0.1},5,14855,3713,0,0
