lake,date,index,n,pearson_r
atitlan,2025-01-18,ndvi,25611,0.3224280121911451
atitlan,2025-01-18,ndwi,25611,0.0157486464142117
atitlan,2025-04-13,ndvi,222758,0.46040750176846695
atitlan,2025-04-13,ndwi,222758,-0.4724531433152854
atitlan,2025-05-13,ndvi,162929,0.5366907337217753
atitlan,2025-05-13,ndwi,162929,-0.4163311390770692
atitlan,2025-07-17,ndvi,194343,0.2838209281077348
atitlan,2025-07-17,ndwi,194343,-0.21571684873692218
atitlan,2025-11-21,ndvi,171373,0.23493287148161546
atitlan,2025-11-21,ndwi,171373,-0.03837690352806403
atitlan,2025-12-29,ndvi,183359,0.25668764882057277
atitlan,2025-12-29,ndwi,183359,0.01924408299885411
atitlan,2026-02-12,ndvi,178079,0.2022486609002393
atitlan,2026-02-12,ndwi,178079,0.07579746475277126
atitlan,2026-03-24,ndvi,286287,0.48841695727162043
atitlan,2026-03-24,ndwi,286287,-0.44601639929709586
atitlan,2026-04-13,ndvi,41374,0.3893608830446376
atitlan,2026-04-13,ndwi,41374,-0.2690431713979047
atitlan,2026-04-28,ndvi,123571,0.5764585760459516
atitlan,2026-04-28,ndwi,123571,-0.4647525701991159
atitlan,2026-07-22,ndvi,207981,0.37159601761990363
atitlan,2026-07-22,ndwi,207981,-0.3415309100694462
amatitlan,2025-01-28,ndvi,27823,-0.1344377821815405
amatitlan,2025-01-28,ndwi,27823,0.2265703289515083
amatitlan,2025-04-15,ndvi,11759,0.8332953269458502
amatitlan,2025-04-15,ndwi,11759,-0.6316919516672661
amatitlan,2025-04-28,ndvi,23219,0.8773471174103635
amatitlan,2025-04-28,ndwi,23219,-0.7814635182677833
amatitlan,2025-11-24,ndvi,29977,0.734842356018572
amatitlan,2025-11-24,ndwi,29977,-0.6970714269475544
amatitlan,2026-01-08,ndvi,31238,0.7265827201014844
amatitlan,2026-01-08,ndwi,31238,-0.7241076014916762
amatitlan,2026-02-02,ndvi,2577,0.41422967244356507
amatitlan,2026-02-02,ndwi,2577,-0.14557356937983304
amatitlan,2026-02-07,ndvi,9075,0.1244358285520164
amatitlan,2026-02-07,ndwi,9075,-0.0046080214717849725
amatitlan,2026-03-29,ndvi,22580,0.8513747180243952
amatitlan,2026-03-29,ndwi,22580,-0.7621647048402416
amatitlan,2026-04-13,ndvi,34702,0.5871896995016466
amatitlan,2026-04-13,ndwi,34702,0.136160625105993
amatitlan,2026-04-28,ndvi,33032,0.9424868033750902
amatitlan,2026-04-28,ndwi,33032,-0.9048586987797193
amatitlan,2026-06-19,ndvi,31399,0.6718411988692486
amatitlan,2026-06-19,ndwi,31399,-0.5104192083762521
atitlan,all,ndvi,1797665,0.3328978271834969
atitlan,all,ndwi,1797665,0.11618622268321022
amatitlan,all,ndvi,257381,0.4985955334892795
amatitlan,all,ndwi,257381,-0.2793164426636821
