lake,date,total_pixels,valid_pixels,water_pixels,valid_fraction,chlorophyll_valid_pixels,chlorophyll_coverage_percent,negative_proxy_pixels,negative_proxy_percent,above_calibration_pixels,above_calibration_percent,unestimated_proxy_pixels,mean_chlorophyll_proxy,median_chlorophyll_proxy,p90_chlorophyll_proxy,surface_bloom_percent,high_value_percent
amatitlan,2025-01-28,306860,306858,27830,0.9999934823698103,27823,99.97484728710026,7,0.02515271289974847,0,0.0,0,14.913039207458496,12.70687198638916,25.727752685546875,0.0,19.615522817103844
amatitlan,2025-04-15,306860,306860,11760,1.0,11759,99.99149659863946,1,0.008503401360544217,0,0.0,0,10.444683074951172,4.881807804107666,22.142398834228516,0.0,12.27891156462585
amatitlan,2025-04-28,306860,306544,23244,0.9989702144300332,23219,99.89244536224402,12,0.05162622612287042,0,0.0,13,13.60070514678955,4.906866073608398,36.02720642089844,0.05592841163310962,23.446911030803648
amatitlan,2025-11-24,306860,305823,30045,0.9966206087466597,29977,99.77367282409719,7,0.023298385754701282,0,0.0,61,13.131455421447754,6.979834079742432,27.815521240234375,0.20302879014811115,15.05075719753703
amatitlan,2026-01-08,306860,306860,31327,1.0,31238,99.71590002234494,8,0.025537076643151274,0,0.0,81,23.131425857543945,16.46206283569336,44.72677230834961,0.25856290101190665,40.20812717464168
amatitlan,2026-02-02,306860,305487,2578,0.9955256468747963,2577,99.96121024049651,1,0.038789759503491075,0,0.0,0,6.680975914001465,6.536627292633057,8.756937026977539,0.0,0.0
amatitlan,2026-02-07,306860,306853,9076,0.9999771882943361,9075,99.9889819303658,1,0.011018069634200088,0,0.0,0,8.124059677124023,7.15329647064209,11.318842887878418,0.0,1.4103129131776113
amatitlan,2026-03-29,306860,306831,22581,0.9999054943622498,22580,99.99557149816218,0,0.0,0,0.0,1,17.211706161499023,11.58625602722168,35.92078399658203,0.004428501837828263,22.749213940923784
amatitlan,2026-04-13,306860,306855,34704,0.9999837059245258,34702,99.99423697556477,2,0.005763024435223605,0,0.0,0,16.572439193725586,14.134709358215332,27.85567283630371,0.0,20.833333333333336
amatitlan,2026-04-28,306860,287464,33462,0.9367920224206479,33032,98.7149602534218,0,0.0,0,0.0,430,24.045475006103516,12.684956550598145,64.1372299194336,1.2850397465782082,42.31665770127309
amatitlan,2026-06-19,306860,306856,31484,0.9999869647396207,31399,99.73002159827213,0,0.0,0,0.0,85,67.09962463378906,66.66282653808594,108.86318969726562,0.26997840172786175,93.2791259052217
atitlan,2025-01-18,1194375,1194373,284906,0.9999983254840398,25611,8.98928067502966,90015,31.594631211697894,29981,10.523119906214681,139299,39.13433074951172,7.426362037658691,130.49534606933594,0.0,13.922486714916499
atitlan,2025-04-13,1194375,1193611,235106,0.9993603349031921,222758,94.74790094680698,12348,5.252099053193028,0,0.0,0,3.229902982711792,3.4473185539245605,4.1500115394592285,0.0,0.001276020178132417
atitlan,2025-05-13,1194375,994357,174222,0.8325333333333333,162929,93.51804020158188,11293,6.48195979841811,0,0.0,0,3.6229288578033447,3.873331308364868,4.50010347366333,0.0,0.007461744211408433
atitlan,2025-07-17,1194375,1178078,203325,0.9863552066980639,194343,95.5824419033567,8980,4.416574449772532,0,0.0,2,4.241011142730713,4.392298698425293,4.923872947692871,0.0009836468707733923,0.23164883806713388
atitlan,2025-11-21,1194375,1114664,246973,0.9332613291470434,171373,69.38936644896405,74310,30.08830924837938,365,0.14778943447259418,925,6.053369998931885,4.702783584594727,8.651357650756836,0.0,2.2941779060869005
atitlan,2025-12-29,1194375,1104691,274601,0.9249113553113553,183359,66.77288138062134,90315,32.88953791136959,135,0.049162239030447814,792,4.105555534362793,4.071000099182129,5.274401664733887,0.0,0.3638005688253138
atitlan,2026-02-12,1194375,1194367,254335,0.9999933019361591,178079,70.01749660880336,55706,21.90260876403169,623,0.24495252324689878,19927,4.495415687561035,4.354494094848633,5.456475734710693,0.0,0.7454734896887962
atitlan,2026-03-24,1194375,1134172,298345,0.9495945578231293,286287,95.9583703430592,12058,4.04162965694079,0,0.0,0,3.6714537143707275,3.95369029045105,4.592330455780029,0.0,0.00871474299887714
atitlan,2026-04-13,1194375,1194352,47187,0.9999807430664573,41374,87.68092906944709,5813,12.319070930552908,0,0.0,0,3.5526628494262695,3.8812005519866943,4.757106781005859,0.0,0.02966918854769322
atitlan,2026-04-28,1194375,1084191,135068,0.9077475667189953,123571,91.48799123404507,11497,8.512008765954926,0,0.0,0,3.1311984062194824,3.3346097469329834,4.143393516540527,0.0,0.0
atitlan,2026-07-22,1194375,1138177,217784,0.9529477760334903,207981,95.49875105609227,9754,4.478749586746502,0,0.0,49,3.976106882095337,4.208070278167725,4.76877498626709,0.022499357161223966,0.1896374389303163
