lake,date,threshold,high_value_percent
atitlan,2025-01-18,10.0,14.32121471643279
atitlan,2025-01-18,20.0,13.922486714916499
atitlan,2025-01-18,50.0,12.564845949190259
atitlan,2025-04-13,10.0,0.004253400593774723
atitlan,2025-04-13,20.0,0.001276020178132417
atitlan,2025-04-13,50.0,0.0
atitlan,2025-05-13,10.0,0.021811252310270802
atitlan,2025-05-13,20.0,0.007461744211408433
atitlan,2025-05-13,50.0,0.0
atitlan,2025-07-17,10.0,0.4446083855895734
atitlan,2025-07-17,20.0,0.23164883806713388
atitlan,2025-07-17,50.0,0.06836345751875077
atitlan,2025-11-21,10.0,5.875136148485867
atitlan,2025-11-21,20.0,2.2941779060869005
atitlan,2025-11-21,50.0,0.6267891631878788
atitlan,2025-12-29,10.0,1.0702801519295269
atitlan,2025-12-29,20.0,0.3638005688253138
atitlan,2025-12-29,50.0,0.15003587022625553
atitlan,2026-02-12,10.0,1.5373424813729923
atitlan,2026-02-12,20.0,0.7454734896887962
atitlan,2026-02-12,50.0,0.4163799712976979
atitlan,2026-03-24,10.0,0.024468316881462737
atitlan,2026-03-24,20.0,0.00871474299887714
atitlan,2026-03-24,50.0,0.0006703648460674723
atitlan,2026-04-13,10.0,0.1483459427384661
atitlan,2026-04-13,20.0,0.02966918854769322
atitlan,2026-04-13,50.0,0.0
atitlan,2026-04-28,10.0,0.008144045962033938
atitlan,2026-04-28,20.0,0.0
atitlan,2026-04-28,50.0,0.0
atitlan,2026-07-22,10.0,0.27274730926055174
atitlan,2026-07-22,20.0,0.1896374389303163
atitlan,2026-07-22,50.0,0.07668148256988576
amatitlan,2025-01-28,10.0,68.22493711821775
amatitlan,2025-01-28,20.0,19.615522817103844
amatitlan,2025-01-28,50.0,0.9054976643909449
amatitlan,2025-04-15,10.0,36.743197278911566
amatitlan,2025-04-15,20.0,12.27891156462585
amatitlan,2025-04-15,50.0,0.15306122448979592
amatitlan,2025-04-28,10.0,32.43847874720358
amatitlan,2025-04-28,20.0,23.446911030803648
amatitlan,2025-04-28,50.0,4.977628635346757
amatitlan,2025-11-24,10.0,31.962056914628057
amatitlan,2025-11-24,20.0,15.05075719753703
amatitlan,2025-11-24,50.0,3.787651855550008
amatitlan,2026-01-08,10.0,82.57094519104925
amatitlan,2026-01-08,20.0,40.20812717464168
amatitlan,2026-01-08,50.0,8.120790372522107
amatitlan,2026-02-02,10.0,3.60744763382467
amatitlan,2026-02-02,20.0,0.0
amatitlan,2026-02-02,50.0,0.0
amatitlan,2026-02-07,10.0,14.290436315557514
amatitlan,2026-02-07,20.0,1.4103129131776113
amatitlan,2026-02-07,50.0,0.27545174085500224
amatitlan,2026-03-29,10.0,60.311766529383114
amatitlan,2026-03-29,20.0,22.749213940923784
amatitlan,2026-03-29,50.0,6.895177361498606
amatitlan,2026-04-13,10.0,83.06535269709543
amatitlan,2026-04-13,20.0,20.833333333333336
amatitlan,2026-04-13,50.0,1.4263485477178424
amatitlan,2026-04-28,10.0,52.28019843404459
amatitlan,2026-04-28,20.0,42.31665770127309
amatitlan,2026-04-28,50.0,18.134002749387363
amatitlan,2026-06-19,10.0,98.31025282683268
amatitlan,2026-06-19,20.0,93.2791259052217
amatitlan,2026-06-19,50.0,67.12933553551011
